36	141	TD	1259	108	1321	127	1256	150	1203	+1	+4	+1	+12	−2	+3	−5	−23	−3	−13	+6	+38	101	20	31	50	21	54	26	101	192
37	142	MW	1257	48	1585	111	1322	149	1114	−5	−10	−16	−56	−24	−79	−23	−74	−18	−92	−25	−102	447	229	144	74	157	169	121	577	626
38	144	GQ	1248	144	1248	164	1084	187	1016	+10	+37	+10	+29	+17	+61	+30	+153	+41	+225	+29	+159	57	18	19	20	10	35	12	42	112
39	147	GW	1241	82	1348	119	1287	160	1186	0	0	−2	0	−4	0	+3	+21	+2	+6	−4	+8	97	25	27	45	28	48	21	103	160
40	148	LR	1234	70	1522	110	1333	149	1216	−7	−25	−10	−37	−14	−39	−11	−43	−62	−235	−35	−134	215	90	91	34	52	112	51	193	330
41	149	SL	1229	65	1556	98	1376	149	1229	−9	−32	−16	−57	−21	−69	−30	−102	−21	−110	−63	−239	215	83	85	47	65	98	52	205	296
42	153	MR	1219	139	1259	160	1054	182	922	+4	+19	+4	+26	+13	+50	+13	+77	+20	+118	+4	+25	168	51	57	60	18	109	41	114	351
43	155	MG	1204	60	1510	92	1392	166	1171	+8	+24	+8	+27	+9	+23	−9	−24	−53	−220	−71	−265	202	82	78	42	84	82	36	310	326
44	158	SZ	1189	126	1265	144	1194	165	1125	0	−6	+6	+13	+1	−1	−1	−7	−13	−57	+1	+7	141	71	64	6	31	70	40	124	251
45	162	MU	1184	32	1628	98	1380	171	1108	−7	−25	−15	−54	−24	−76	−45	−154	−10	−44	+3	+49	220	78	104	38	73	98	49	334	339
46	171	LS	1139	127	1228	150	1165	174	1105	−4	−27	−3	−24	−1	+17	−3	+10	−7	+1	−11	−41	157	72	69	16	30	87	40	134	289
47	176	SC	1078	157	1123	175	987	196	929	+2	+15	−2	−27	−2	−32	+4	+26	+11	+77	+19	+141	76	24	29	23	14	50	12	64	148
48	192	SO	951	124	1253	150	1151	192	951	0	0	−1	0	−9	−63	−10	−81	−12	−108	−26	−181	84	10	24	50	10	61	13	56	230
49	202	KM	863	171	901	190	866	205	824	0	+8	0	+8	+1	+36	+2	+36	+3	+16	−1	−7	22	0	5	17	3	17	2	13	58
50	206	DJ	802	93	902	164	888	207	802	0	0	+1	0	−5	−45	−6	−70	−5	−70	−8	−88	44	11	15	18	1	40	3	37	180
