1	36	CI	1720	15	1869	44	1647	75	1494	−5	−17	−8	−21	−6	0	−14	−63	−15	−60	+11	+52	534	181	188	165	269	130	135	872	544
2	44	DZ	1684	10	1875	51	1627	108	1392	+2	+6	+1	+7	−6	−10	+15	+94	+40	+170	+57	+275	548	204	203	141	230	171	147	763	575
3	47	GH	1667	10	1872	41	1660	101	1427	+3	+19	−17	−68	−10	−33	−6	−24	−21	−98	+19	+113	630	198	247	185	313	169	148	1030	648
4	49	SN	1666	21	1812	59	1573	105	1393	−2	+2	0	+6	+3	+32	+17	+101	+12	+73	−5	−15	542	178	207	157	226	166	150	708	549
5	50	NG	1649	16	1828	39	1667	71	1500	−2	−13	0	−10	−11	−41	−16	−66	−4	−27	−21	−107	582	204	232	146	264	149	169	869	600
6	52	EG	1641	10	1891	33	1672	68	1525	+2	+13	+4	+20	−3	−4	−13	−62	−35	−175	−10	−59	724	295	238	191	366	185	173	1298	789
7	55	CM	1632	14	1852	51	1606	81	1453	0	+11	+2	+15	−5	−10	+8	+52	−7	−33	−26	−124	528	142	210	176	234	140	154	787	589
8	66	MA	1559	18	1823	43	1654	87	1512	+1	+7	+4	+19	+13	+33	+12	+25	+12	+7	−16	−102	575	242	192	141	265	139	171	832	514
9	68	CV	1556	67	1556	127	1263	149	1164	+1	+16	+3	+19	+8	+17	+16	+46	+42	+159	+46	+211	153	48	55	50	53	64	36	159	182
10	71	ML	1544	39	1654	70	1522	127	1306	−3	−4	−3	−4	−3	−21	−6	−23	+14	+32	+2	+14	495	163	189	143	198	173	124	655	599
11	72	TN	1541	24	1761	52	1603	86	1437	−9	−30	−7	−29	−5	−29	+7	+10	−9	−46	−32	−176	617	280	209	128	250	189	178	875	690
12	76	ZM	1525	30	1720	55	1572	105	1427	+5	+15	+8	+28	+19	+57	0	−14	−4	−46	+1	+3	695	228	284	183	324	189	182	1131	698
13	77	ZA	1518	8	1817	26	1736	97	1452	−11	−36	−16	−85	−20	−93	−8	−40	−26	−118	−6	−23	375	185	128	62	163	111	101	508	407
14	84	GA	1506	59	1593	94	1414	124	1304	+7	+22	+3	+12	+6	+21	+3	+5	−21	−81	+19	+103	348	143	116	89	123	129	96	419	410
15	86	GN	1503	21	1799	68	1535	129	1306	−4	−3	−19	−55	−8	−27	−3	−10	0	−3	−2	−3	474	133	196	145	179	154	141	683	580
16	89	UG	1491	28	1629	70	1489	131	1310	0	+2	−6	−7	−7	−23	−3	−11	−17	−80	+34	+168	586	206	201	179	249	184	153	943	740
17	94	LY	1461	41	1628	77	1484	126	1344	−1	−12	−5	−22	−3	−22	−23	−93	−6	−31	−8	−39	357	140	128	89	130	144	83	504	487
18	95	CG	1460	34	1701	75	1499	123	1343	+7	+16	+5	+7	+7	+17	+15	+64	+22	+85	+10	+64	377	147	146	84	147	144	86	559	510
19	96	CD	1457	20	1789	59	1564	112	1392	−11	−44	−8	−34	+7	+16	+3	+5	+15	+65	−4	−6	418	131	180	107	168	138	112	660	527
20	98	AO	1450	51	1627	81	1482	104	1397	+1	−7	+4	−1	+6	+15	−2	−16	−1	−8	−26	−85	328	119	143	66	116	96	116	393	346
21	100	TG	1444	54	1607	86	1448	129	1301	+3	+2	+4	+7	−1	−6	−8	−35	+7	+33	−40	−148	395	142	171	82	127	171	97	426	552
22	101	BF	1441	63	1583	102	1379	131	1237	−6	−25	−8	−31	−38	−142	−29	−107	−9	−37	−1	+31	363	134	145	84	114	153	96	433	528
23	109	RW	1393	96	1465	145	1190	175	1039	0	−13	+4	+6	+4	−1	+19	+70	0	−5	+12	+66	215	72	77	66	70	93	52	225	288
24	110	BJ	1386	54	1557	110	1347	167	1137	+5	+4	+5	+11	+2	−12	+1	−8	−2	−15	+29	+123	259	104	112	43	56	143	60	267	497
25	111	MW	1381	48	1585	112	1327	149	1114	+3	−2	+7	+12	+14	+45	+13	+28	+4	−4	+21	+86	551	261	195	95	188	209	154	683	740
26	115	KE	1375	53	1542	87	1373	140	1235	−4	−19	+1	+1	−1	−6	−2	−9	+13	+52	−12	−28	614	227	228	159	226	242	146	861	868
27	122	GQ	1357	110	1404	160	1120	187	1016	−9	−32	−10	−36	+8	+49	+13	+54	+31	+145	+52	+262	112	51	38	23	26	62	24	94	192
28	123	NA	1350	103	1402	143	1240	170	1115	−4	−14	+11	+67	+13	+67	+13	+60	+8	+61	+39	+179	198	83	89	26	46	93	59	202	304
29	124	GM	1349	86	1427	115	1312	151	1203	−3	−11	+2	+10	+2	+14	+3	+14	−18	−78	−8	+9	208	85	76	47	53	95	60	212	311
30	125	SD	1343	23	1716	82	1474	132	1295	−1	−8	+3	+7	−1	+5	+6	+31	−5	−6	−24	−66	433	135	161	137	156	175	102	525	582
31	126	SL	1340	65	1556	102	1367	158	1190	+3	+17	+1	+2	−3	−9	−8	−25	+8	+57	−6	+9	260	99	112	49	76	119	65	244	364
32	127	ET	1339	40	1641	92	1411	141	1259	−2	−11	−4	−11	−6	−14	−19	−61	+13	+80	−8	+3	373	169	132	72	139	158	76	539	552
33	128	BI	1334	88	1458	121	1288	158	1190	+2	+21	+2	+17	+1	+12	+2	+18	+27	+129	−1	+23	155	36	59	60	48	72	35	162	216
34	131	LR	1315	70	1522	115	1324	150	1216	+3	+30	+2	+22	+2	+22	−2	−2	+16	+80	+5	+38	255	110	111	34	63	131	61	232	392
35	133	MZ	1303	94	1429	119	1318	152	1213	−6	−29	−16	−70	−12	−50	−7	−34	−15	−60	−2	+5	290	120	126	44	87	131	72	292	379
36	134	BW	1282	101	1438	154	1128	190	989	+5	+13	−2	−18	−6	−42	0	−23	−22	−108	−12	−43	248	123	96	29	63	110	75	194	334
37	136	NE	1277	97	1397	131	1236	154	1082	−3	−23	+3	+11	−5	−21	+2	−9	+3	+15	−8	−31	201	77	90	34	42	109	50	190	363
38	138	CF	1271	75	1435	117	1314	164	1184	+14	+44	+5	+33	+7	+29	+2	+1	+18	+69	+13	+54	97	23	38	36	19	59	19	107	205
39	140	TZ	1255	76	1472	115	1281	169	1123	+3	+11	−15	−88	−13	−77	−20	−104	−17	−90	+27	+124	509	189	190	130	147	223	139	598	782
40	142	MR	1252	139	1259	161	1070	182	922	+18	+48	+19	+46	+17	+56	+24	+79	+27	+109	+24	+110	197	61	71	65	25	126	46	131	393
41	143	TD	1251	108	1321	130	1254	159	1189	−3	−13	−1	+1	−1	+1	+4	+17	+3	+14	−8	−31	133	30	46	57	27	74	32	129	256
42	144	MG	1246	60	1510	99	1370	170	1149	−6	−30	+19	+68	+17	+68	+25	+97	+3	+11	+2	+18	248	96	94	58	98	102	48	363	390
43	147	SZ	1242	126	1265	148	1185	181	1082	−3	+2	+23	+105	+26	+102	+31	+156	+16	+77	+10	+46	203	92	88	23	42	101	60	171	362
44	153	GW	1230	82	1348	122	1281	160	1186	−11	−23	−8	−7	−5	−7	−3	+5	−15	−33	−3	+10	120	36	35	49	33	60	27	123	186
45	161	LS	1199	127	1264	153	1166	174	1105	−3	−6	−14	−36	−21	−61	−11	−26	+5	+36	+7	+70	227	93	99	35	41	122	64	184	402
46	177	ER	1110	139	1246	159	1180	177	1098	0	0	−1	0	−2	0	−7	−37	−18	−69	−13	−36	73	17	23	33	12	43	18	47	120
47	180	MU	1087	32	1628	107	1341	187	998	+7	+57	+7	+55	+7	+67	+4	+33	+3	+56	−62	−251	263	91	120	52	78	128	57	363	435
47	180	SS	1087	176	1107	182	1073	184	1049	+2	+32	+2	+24	+3	+24	+1	+5	−	−	−	−	13	2	5	6	1	10	2	5	28
49	182	ST	1071	152	1114	170	1065	186	999	−2	−7	−3	−10	−3	−10	−6	−34	−3	+15	−3	+15	37	15	13	9	5	26	6	28	103
50	190	SC	964	157	1123	177	994	196	929	0	−5	0	−15	0	−15	+2	−3	−6	−61	−10	−88	114	39	39	36	21	76	17	102	221
51	204	KM	889	171	901	193	866	206	824	−2	−2	−2	−3	−3	−3	0	+23	0	+24	+1	+62	47	7	13	27	4	35	8	24	107
52	206	SO	868	124	1253	158	1112	206	868	0	0	−1	0	−2	0	−3	−8	−11	−56	−24	−164	111	10	31	70	12	85	14	63	302
53	210	DJ	785	93	902	170	877	212	782	0	−2	+1	−3	−1	−3	−1	−3	−2	−8	−10	−87	70	19	22	29	3	63	4	50	286
