1	5	UY	1965	1	2107	13	1873	44	1635	+6	+98	+5	+89	+3	+79	+15	+160	+11	+124	+26	+217	838	284	356	198	362	272	204	1331	1065
2	7	AR	1919	1	2160	5	1981	26	1751	+1	+5	−2	−74	−2	−73	+4	+45	−1	−71	−5	−106	919	330	360	229	485	206	228	1720	996
3	10	CL	1890	5	1940	29	1656	60	1384	−5	−44	−3	−15	−1	+18	+3	+61	+33	+178	+46	+288	669	260	249	160	245	279	145	931	986
4	17	PY	1813	5	1955	22	1758	43	1617	+4	+28	+3	+27	+5	+35	+2	+6	+8	+44	+4	+4	641	169	297	175	236	238	167	854	911
5	21	CO	1785	5	1943	55	1554	100	1304	−3	−15	+4	+18	+8	+27	+14	+41	−1	−4	−1	−42	478	144	173	161	174	174	130	569	607
6	26	PE	1767	14	1884	36	1659	76	1486	+21	+101	+27	+130	+28	+149	+42	+210	+24	+134	+25	+131	539	208	190	141	167	237	135	678	795
7	33	EC	1736	22	1804	71	1464	117	1184	+3	+6	+4	+23	0	+12	−2	−16	−6	−27	+1	−2	435	138	155	142	117	206	112	493	731
8	37	VE	1713	19	1805	92	1366	126	1212	−5	−28	−1	−6	+1	+2	+2	−12	+15	+88	+32	+180	329	130	121	78	83	180	66	356	661
9	77	BO	1532	21	1793	59	1489	84	1244	−5	−16	−8	−27	−9	−49	−15	−50	−11	−26	+1	+30	390	139	140	111	89	206	95	411	765
