1	2	AR	2068	1	2160	5	1982	26	1751	0	−2	+1	+12	+1	−21	+2	+30	+3	+89	+3	+116	972	342	379	251	519	212	241	1833	1038
2	3	BR	2048	1	2194	4	1992	20	1813	0	+15	−1	−17	+2	+51	−1	−70	−1	−56	−2	+10	933	326	301	306	590	154	189	2027	865
3	4	CO	1997	4	2035	52	1573	100	1304	+1	−5	0	−26	0	−10	+6	+95	+19	+230	+31	+263	523	154	186	183	202	181	140	653	635
4	5	CL	1977	5	1998	28	1665	60	1384	+1	+2	+3	+41	+2	−2	+7	+99	+4	+105	+41	+296	724	287	263	174	276	294	154	1036	1052
5	13	UY	1874	1	2107	12	1874	44	1635	−1	−3	−3	−39	−3	−25	−5	−42	−5	−14	+7	+55	890	298	382	210	388	285	217	1416	1122
6	15	EC	1823	12	1882	68	1483	117	1184	+3	+3	+2	−11	+2	−17	+4	−6	+20	+108	+13	+51	479	151	169	159	136	220	123	564	782
7	17	PE	1806	14	1884	35	1662	76	1486	+3	−2	+22	+90	+12	+74	+14	+79	+35	+175	+36	+158	585	223	211	151	184	256	145	728	850
8	42	PY	1696	5	1955	22	1757	44	1617	+1	−2	0	+8	−6	−12	−7	−17	−20	−82	−18	−97	684	184	315	185	248	257	179	909	982
9	46	VE	1668	19	1805	89	1384	126	1212	−5	−31	−3	−19	−6	−19	−10	−42	−9	−43	+13	+62	368	145	139	84	94	199	75	397	726
10	54	BO	1633	21	1793	59	1494	85	1244	−2	−3	−1	+8	+5	+26	+2	+20	+13	+52	+12	+72	424	153	153	118	96	223	105	446	838
