1	1	BR	2035	1	2194	5	1984	20	1813	0	+2	0	+7	+4	+71	+2	+28	+6	+84	0	−41	791	290	263	238	491	136	164	1727	763
2	2	NL	1995	1	2106	17	1815	52	1537	0	0	0	+2	0	−8	+3	+28	+2	−9	+7	+77	634	302	261	71	302	188	144	1303	881
3	3	EN	1973	1	2216	4	1985	17	1791	0	+5	+2	+9	+1	−19	+5	+33	+5	+58	+10	+98	896	384	435	77	522	169	205	2175	914
3	3	FR	1973	1	2137	18	1753	40	1507	+3	+15	0	−3	+3	+15	−2	−86	−2	−147	0	−17	667	339	256	72	309	221	137	1197	1051
5	5	CZ	1972	1	2037	10	1871	27	1687	−1	+7	−1	+6	−2	−30	+1	+11	+6	+82	+5	+66	657	266	319	72	321	191	145	1257	837
6	6	ES	1965	1	2047	8	1921	20	1800	−1	+4	0	+7	+1	+19	−4	−52	0	+13	−2	−24	516	246	204	66	274	108	134	986	506
7	7	IT	1943	1	2131	8	1909	21	1605	0	−7	0	+3	+2	+39	0	−3	−5	−89	−2	−44	648	304	242	102	347	130	171	1151	659
8	8	AR	1922	1	2160	5	1982	26	1751	0	+4	0	−9	−7	−86	−4	−62	−5	−88	+13	+102	841	304	330	207	440	190	211	1584	921
9	9	PT	1915	2	2022	21	1762	42	1619	0	+1	0	+6	+1	+12	0	+16	−4	−88	+6	+50	441	216	177	48	197	144	100	709	569
10	10	DE	1897	1	2143	8	1891	24	1639	+1	+15	+1	+5	+2	+9	+2	+29	−1	−14	−8	−137	773	331	326	116	437	176	160	1713	948
11	12	SE	1861	2	2012	15	1794	46	1577	0	−14	−2	−43	−1	−31	+8	+62	+4	+9	+2	−13	867	386	395	86	425	252	190	1832	1201
12	15	HR	1838	5	2005	12	1878	26	1782	0	−9	−2	−26	−1	−32	+1	+1	−5	−53	−4	−58	165	69	71	25	80	36	49	284	173
12	15	US	1838	11	1891	43	1618	89	1416	−2	−27	+2	−4	0	−28	−1	−7	+5	0	+14	+99	490	270	168	52	189	190	111	647	700
14	17	MX	1837	6	1958	21	1762	48	1495	+2	+4	+1	+8	−9	−73	−4	−12	+18	+121	0	−21	664	223	192	249	332	172	160	1223	711
15	19	PL	1822	2	2083	28	1706	58	1524	−1	−15	−5	−25	+7	+22	+10	+77	+4	+21	+20	+160	673	274	327	72	290	224	159	1164	956
16	20	IR	1813	18	1836	42	1630	75	1461	+3	+10	+3	+16	0	−5	+12	+88	+13	+91	+40	+240	415	143	106	166	227	95	93	812	350
17	23	AU	1802	11	1880	37	1636	77	1471	+4	+16	+5	+33	−1	−9	−1	+10	−2	−22	+13	+133	386	180	141	65	199	109	78	836	446
18	24	FY	1799	3	2009	18	1789	39	1515	0	−2	0	+8	+4	+24	+10	+80	−11	−59	−16	−125	627	224	305	98	296	197	134	1228	912
19	25	CH	1798	10	1918	28	1659	56	1485	0	+4	0	+19	+10	+75	+12	+93	+20	+126	−3	−16	661	316	306	39	209	310	142	944	1225
20	26	UA	1790	19	1816	45	1663	70	1536	+4	+23	+1	+16	−5	−25	+26	+151	+22	+129	+31	+209	121	51	62	8	46	35	40	142	120
20	26	JP	1790	8	1896	67	1435	114	1214	−4	−18	−5	−22	−2	−19	−7	−21	−12	−65	+4	+65	528	190	135	203	232	186	110	897	682
22	30	PY	1778	5	1955	22	1756	43	1617	−1	+3	−4	+1	+1	+31	−5	−6	−18	−85	−6	−8	563	154	259	150	209	212	142	767	835
23	32	CI	1768	20	1773	47	1624	75	1494	0	+14	+9	+63	+17	+99	+21	+130	+19	+122	+33	+209	409	157	150	102	199	106	104	639	427
24	36	KR	1730	15	1843	37	1668	79	1446	−2	−17	+8	+43	+2	+17	+6	+39	−14	−77	+14	+116	768	234	189	345	426	155	187	1452	697
25	38	CR	1723	9	1863	34	1692	73	1494	−1	−14	−3	−10	+1	+23	−5	−1	+20	+117	+23	+151	488	176	166	146	240	145	103	965	572
26	43	TN	1708	24	1761	51	1604	83	1437	+1	+14	−4	−8	+9	+58	+1	+33	+11	+73	+4	+88	509	239	172	98	207	162	140	716	582
27	45	EC	1699	22	1786	74	1444	117	1184	−5	−20	−14	−59	−15	−51	−14	−33	−18	−68	−14	−24	369	121	133	115	97	178	94	408	640
28	55	GH	1618	10	1872	42	1650	101	1427	+12	+48	+3	+14	+26	+122	+44	+188	+24	+128	−8	−2	497	167	206	124	246	131	120	822	517
29	63	SA	1584	30	1729	80	1467	128	1239	−5	−16	−7	−24	−23	−111	−22	−109	−26	−125	−9	−21	511	206	82	223	250	143	118	833	562
30	66	TT	1568	11	1671	55	1508	111	1308	−3	−23	0	−11	+16	+73	+35	+146	−15	−78	−7	−9	581	241	241	99	265	197	119	1014	736
31	68	AO	1565	64	1577	79	1477	104	1397	+3	+12	+2	+18	+5	+36	+12	+74	+4	+51	+16	+90	223	83	111	29	84	67	72	278	248
32	88	TG	1491	54	1607	83	1451	129	1301	−4	−4	−25	−96	−20	−70	+14	+70	−6	+12	+33	+162	317	118	138	61	102	133	82	347	439
