1	12	MX	1883	6	1958	21	1764	48	1495	+1	0	−4	−45	+7	+66	+5	+40	+3	+50	+10	+95	691	228	194	269	346	182	163	1267	742
2	28	US	1777	11	1891	42	1621	89	1416	+4	+21	+5	+24	−3	+1	−13	−68	−13	−56	+4	+38	511	282	171	58	201	197	113	679	724
3	45	HN	1665	23	1790	61	1486	108	1332	+3	+6	+1	−3	−9	−74	−5	−51	−14	−95	+23	+137	402	135	128	139	166	127	109	639	525
4	53	CR	1638	9	1863	34	1691	73	1494	+2	−1	−2	−11	−2	+4	−18	−95	−21	−115	+1	+37	514	183	174	157	247	153	114	998	600
5	54	CA	1634	25	1734	44	1602	73	1495	−3	−12	−4	−17	+4	+43	+13	+59	−4	+3	+18	+109	289	97	140	52	104	119	66	313	407
6	66	PA	1572	51	1590	109	1289	142	1153	−1	−1	+1	+4	+16	+61	+24	+94	+42	+173	+61	+245	323	113	122	88	86	160	77	380	592
7	69	JM	1563	38	1703	85	1371	136	1214	+3	+15	+1	+15	−14	−48	−19	−86	−7	−1	−24	−99	464	196	175	93	175	183	106	607	646
8	76	HT	1538	42	1652	78	1395	129	1265	−5	−12	−4	−7	−1	−1	+12	+57	0	+37	+37	+171	380	146	123	111	166	131	83	641	519
9	82	GT	1507	30	1644	62	1489	95	1385	−4	−15	−3	−3	−8	−39	−19	−77	−14	−26	−18	−51	429	152	125	152	150	157	122	601	593
10	84	CU	1500	21	1686	74	1455	141	1108	−2	0	−3	0	−12	−49	−13	−46	−5	+4	+3	+38	329	71	137	121	133	112	84	489	411
11	85	TT	1497	11	1671	55	1508	111	1308	−5	−5	−5	−6	−14	−55	−20	−82	+4	+30	−9	−1	604	250	250	104	272	207	125	1046	772
12	107	SV	1393	31	1610	65	1474	121	1336	+3	+10	+6	+36	0	+19	−2	+8	−34	−111	−37	−133	442	153	131	158	150	196	96	585	704
13	120	GY	1336	15	1512	93	1314	181	1057	−1	−10	−1	−10	−4	−10	+50	+223	+51	+231	+54	+261	225	106	88	31	64	117	44	276	423
14	124	VC	1328	52	1551	91	1382	159	1200	−4	−10	−3	−10	−10	−21	−8	−16	+20	+72	+29	+128	207	69	77	61	79	80	48	346	368
15	131	BB	1306	53	1399	108	1268	141	1191	+2	+3	+2	+3	−1	+7	+2	+15	−12	−59	−1	−5	233	117	76	40	74	95	64	292	371
16	144	SR	1243	25	1581	72	1421	155	1207	+2	0	+1	0	0	0	−4	−12	−13	−61	−12	−60	320	128	138	54	137	108	75	622	464
17	154	KN	1207	77	1389	127	1190	167	1113	−6	−22	−5	−22	−6	−22	−13	−39	−37	−168	−13	−27	130	68	37	25	58	52	20	251	206
18	155	GD	1204	40	1559	82	1435	162	1182	+6	+16	+4	+16	+4	+16	−7	−23	−12	−54	−24	−100	156	55	60	41	62	59	35	296	263
19	162	LC	1185	61	1352	112	1277	163	1185	0	0	−2	0	0	0	−24	−82	−21	−80	−7	−10	150	53	61	36	54	75	21	239	279
20	173	DA	1119	27	1612	85	1412	174	1119	+1	0	0	0	−3	0	−14	−71	−13	−40	−27	−104	310	94	115	101	122	107	81	543	520
21	174	BM	1098	87	1424	115	1319	174	1098	−2	−40	−3	−40	−9	−82	−10	−75	−38	−183	−59	−267	130	62	45	23	39	64	27	190	225
22	175	AG	1085	96	1293	139	1180	179	1060	+3	+15	+2	+15	+3	+15	−6	−29	−6	−23	−8	−33	156	58	60	38	48	76	32	211	275
23	176	DO	1078	152	1141	169	1001	188	912	0	0	0	0	+1	0	+2	+9	−8	−32	−8	−34	78	31	28	19	20	45	13	95	163
24	181	NI	1055	63	1076	138	990	196	896	0	0	−1	0	+1	+28	+2	+27	+13	+141	+15	+120	111	11	44	56	11	96	4	86	417
25	183	BZ	1040	139	1123	158	1097	183	1040	0	−4	−1	−4	−7	−46	−7	−46	−16	−83	−9	−35	30	11	9	10	5	21	4	32	74
26	185	DM	989	55	1340	114	1247	187	984	0	−4	+1	−4	+1	+3	+1	−23	−3	−53	−25	−187	141	40	54	47	31	80	30	159	310
27	186	KY	983	153	1144	170	1075	190	963	+1	0	+3	0	+1	0	−9	−100	−17	−125	−5	−69	64	30	15	19	13	41	10	70	165
28	189	AW	975	50	1437	98	1301	191	975	0	0	+1	0	−1	0	0	0	0	−25	−12	−87	105	44	45	16	19	58	28	144	264
29	193	PR	940	82	1096	154	913	200	844	+6	+53	+7	+53	+6	+53	+4	+53	+5	+58	−10	−102	107	33	38	36	14	79	14	77	341
30	196	VG	917	171	932	193	870	205	770	+1	+15	0	+15	−1	+15	−1	+15	+6	+57	+7	+122	63	21	27	15	14	41	8	62	174
31	200	BS	882	161	943	184	877	204	836	0	0	+1	0	0	0	+2	+46	+3	+30	+2	+20	35	9	11	15	7	26	2	28	126
32	208	TC	798	205	814	207	773	209	764	0	0	0	0	−1	0	0	+33	0	+31	−	−	10	0	5	5	1	8	1	6	38
33	218	VI	658	208	727	214	691	219	658	0	0	+1	0	0	0	−2	−22	−3	−32	−	−	23	7	10	6	1	19	3	11	134
34	227	AI	557	195	593	214	559	227	506	0	0	0	0	−2	0	−2	−3	−2	+14	−7	+43	33	6	17	10	2	29	2	23	141
35	228	MS	523	107	622	180	590	228	523	0	0	0	0	−1	0	−1	0	−2	−5	−12	−93	24	4	12	8	2	21	1	16	123
