1	78	NZ	1516	31	1652	62	1502	100	1349	+4	0	−2	−3	−8	−28	−17	−73	−10	−67	−2	−6	364	120	162	82	148	150	66	644	573
2	123	NC	1358	54	1545	103	1368	175	1098	−2	0	−1	0	0	0	−2	0	+7	+47	+37	+169	228	76	51	101	118	85	25	625	332
3	135	FJ	1281	76	1474	122	1256	155	1075	−1	+1	−1	+1	+2	+1	+5	+1	−9	−42	−11	−40	216	89	43	84	102	79	35	519	357
4	154	TA	1226	48	1599	91	1427	167	1145	−2	0	−4	0	0	0	−6	0	+8	+51	−13	−20	219	50	66	103	118	70	31	618	337
5	164	SB	1176	108	1386	142	1190	166	1046	+2	0	0	0	−1	0	−1	0	−30	−111	−55	−191	156	41	42	73	66	63	27	349	325
6	166	VU	1174	106	1268	152	1101	190	970	+1	0	−1	0	−2	0	−1	0	−16	−56	−22	−63	170	29	41	100	51	97	22	307	385
7	184	PG	1054	132	1218	162	1088	187	1023	+1	0	+2	0	−2	−11	−2	−11	−3	+8	−3	+6	118	16	29	73	37	61	20	276	267
8	221	TO	684	179	727	204	687	221	629	0	−1	−1	−1	−4	−1	−3	−1	−3	−6	−10	−32	51	5	12	34	14	31	6	64	185
9	222	WS	681	181	730	206	649	222	601	0	0	−1	0	−4	0	−2	0	−8	−21	−7	−4	55	23	8	24	15	36	4	78	207
10	224	CK	675	169	731	200	683	224	646	0	0	0	0	−3	0	−2	0	−13	−51	−6	+2	44	4	10	30	9	31	4	40	245
11	238	AS	382	188	628	218	475	238	335	0	0	0	0	−2	0	−2	0	−6	+27	−9	+8	43	0	12	31	2	40	1	22	300
