1	85	NZ	1494	31	1652	61	1497	100	1349	+3	+5	−3	−10	−8	−26	−9	−28	−28	−103	+1	+34	309	109	134	66	129	128	52	575	493
2	114	SB	1356	108	1386	141	1180	162	1046	0	+2	−2	+2	0	+2	−5	−11	+33	+110	+7	+15	127	30	34	63	54	50	23	292	281
3	125	FJ	1321	76	1474	121	1251	155	1075	−2	0	−2	0	−2	0	−1	0	−12	−60	−16	−62	189	79	40	70	87	71	31	440	334
4	139	TA	1262	48	1599	81	1460	151	1217	0	0	+1	0	+3	+16	+2	+16	−23	−112	−43	−172	183	45	61	77	105	51	27	554	262
5	147	VU	1242	106	1268	152	1085	190	970	0	+5	0	+5	−3	+5	−3	+5	+15	+90	+37	+209	142	23	31	88	38	86	18	244	344
6	161	NC	1184	54	1545	100	1374	175	1098	−2	−5	−3	−5	+1	−5	−1	−5	+14	+86	−5	−14	182	61	42	79	94	70	18	502	275
7	212	TO	716	179	727	201	686	219	629	0	0	−1	0	−1	0	−1	0	+5	+56	−3	+9	41	3	9	29	12	25	4	52	163
8	216	WS	685	181	730	203	636	218	601	0	0	−1	0	−1	0	−1	0	−4	−18	−2	+57	42	16	6	20	11	28	3	62	161
9	217	CK	673	169	719	196	679	219	646	0	0	−1	0	0	0	+1	0	−4	−29	−4	+27	31	4	7	20	6	23	2	25	213
10	230	AS	374	188	628	213	510	230	374	0	0	−1	0	−1	0	−1	0	−3	−9	−11	−161	30	0	8	22	1	29	0	18	227
