1	17	AU	1830	11	1880	37	1633	77	1471	0	+1	−1	+1	0	−1	+1	+1	+5	+66	+12	+109	360	167	134	59	183	103	74	766	419
2	74	NZ	1529	31	1652	60	1497	100	1349	−2	0	−2	0	−13	−49	−1	+5	−4	−10	0	+12	290	105	126	59	123	119	48	548	462
3	108	FJ	1399	76	1474	120	1246	155	1075	+2	0	+1	0	+4	+17	−8	−27	−8	−30	−8	−6	178	77	38	63	81	67	30	415	318
4	133	TA	1287	48	1599	77	1473	134	1287	0	0	0	0	−15	−87	−10	−58	−24	−93	−64	−248	172	45	57	70	102	48	22	547	237
5	139	SB	1273	117	1363	144	1165	162	1046	+4	+23	+6	+23	+9	+27	−5	−17	−14	−51	+12	+65	113	23	31	59	47	45	21	265	253
6	156	NC	1188	54	1545	96	1385	175	1098	+1	0	+1	0	+16	+90	+11	+57	+13	+61	−22	−99	176	59	41	76	91	68	17	481	268
7	157	VU	1185	106	1208	152	1075	190	970	−3	−23	−3	−23	+6	+33	+17	+82	+22	+118	+32	+176	131	23	27	81	33	81	17	218	328
8	185	PG	1030	132	1218	156	1098	187	1023	0	0	0	0	−10	−57	−9	−64	−12	−75	−11	−66	104	16	24	64	33	54	17	233	244
9	211	TO	706	179	727	199	681	219	629	0	0	0	0	+8	+46	+6	+46	+1	+18	+1	+43	37	3	8	26	11	22	4	50	146
10	213	WS	703	181	730	201	630	218	601	0	0	0	0	−1	0	−1	0	+2	+27	+1	+102	38	12	6	20	10	25	3	57	150
11	214	CK	702	169	719	194	680	217	646	0	0	0	0	−1	0	−1	0	+3	+40	−3	+23	27	4	6	17	6	19	2	24	196
12	229	AS	383	188	628	210	532	229	383	0	0	0	0	0	0	−2	0	−6	−101	−10	−185	26	0	7	19	1	25	0	17	193
