1	11	PE	1890	11	1894	35	1666	76	1486	+3	+36	+6	+42	+6	+36	+11	+107	+23	+181	+41	+245	611	235	220	156	196	263	152	767	882
2	38	AU	1712	11	1880	36	1650	77	1471	−3	−10	−1	+1	−3	−11	+1	+13	−13	−59	0	−9	531	230	194	107	269	149	113	1074	599
3	55	HN	1626	23	1790	60	1502	108	1332	+16	+66	+7	+29	+13	+62	+21	+96	−13	−56	−7	−33	572	184	184	204	233	189	150	852	725
4	76	NZ	1516	31	1652	62	1502	100	1349	+1	−11	−9	−51	−4	−33	+5	+8	−8	−55	+1	−10	385	123	173	89	157	157	71	674	593
