WC	World Cup
OG	Olympic Games
EC	European Championship	Euro Championship	Euro Champ
CA	Copa América
AS	Asian Cup
AR	African Nations Cup	African Cup
PAC	Pan American Championship	Pan American Champ	Pan Am Champ
PAG	Pan American Games	Pan Am Games
CCH	CONCACAF Championship	CONCACAF Champ	N Am Champ
CCF	CCCF Championship	CCCF Champ
CGC	CONCACAF Gold Cup
NAC	North American Championship	North American Champ	N American Champ	N Am Champ
WQN	World Cup qualifier and North American Championship	North American Champ and World Cup qual	N American Champ and World Cup qual	N Am Champ & World Cup qual	NA Champ & WC qual	NA Ch & WC q
OC	Oceania Nations Cup	Oceania Cup
CC	Confederations Cup	Confed Cup
CQ	Confederations Cup qualifier	Confed Cup qual	Conf Cup q
IC	Intercontinental Cup	Intercont Cup
AAC	Afro-Asian Cup
AAG	Afro-Asian Games
AFT	Artemio Franchi Trophy	A Franchi Trophy	A Franchi T
EP	Europeada
WFC	World Football Cup	World Ftbl Cup	World Ftbl C
CEC	European Football Cup	Euro Football Cup	Euro Ftbl Cup	Euro Ftbl C
VWC	VIVA World Cup	VIVA World C	VIVA WC
MWC	Mini World Cup	Mini World C	Mini WC
WQT	World Cup qualifying	World Cup qual	World Cup q
WQ	World Cup qualifier	World Cup qual	World Cup q
WQA	World Cup and African Nations Cup qualifier	World Cup and African Cup qualifier	World Cup & African Cup qual	World Cup & Afr Cup q	WC & Afr Cup q
WQC	World Cup qualifier and CONCACAF Championship	World Cup qual & CONCACAF Champ	World Cup q & CONCACAF Ch	WC q & NA Ch
WQO	World Cup qualifier and Oceania Nations Cup	World Cup qualifier and Oceania Cup	World Cup qual & Oceania Cup	WC q & Oce Cup
WCQ	World Cup and CONCACAF Championship qualifier	World Cup & CONCACAF Champ qual	World Cup & CONCACAF Ch q	WC & NA Ch q
WOQ	World Cup and Oceania Nations Cup qualifier	World Cup and Oceania Cup qualifier	World Cup & Oceania Cup qual	WC & Oce Cup q
WOS	World Cup and Oceania Nations Cup qualifier and South Pacific Games	World Cup and Oceania Cup qualifier and South Pacific Games	World Cup & Oceania Cup qual & S Pacific Games	World Cup & Oceania Cup q & S Pac Games	World Cup & Oce Cup q & S Pac Games	World Cup & Oce Cup q & S Pac G	W Cup & Oce Cup q & S Pac G	WC & Oce Cup q & S Pac G	WC & OC q & SPG
WQB	World Cup qualifier and British International Championship	World Cup qualifier and British Championship	World Cup qual & British Champ	World Cup q & British Ch	WC q & Br Ch
WQD	World Cup qualifier and Nordic Championship	World Cup qual & Nordic Champ	World Cup q & Nordic Ch	WC q & Nrd Ch
AFQ	World Cup AFC and CAF qualifying	World Cup AFC and CAF qual	World Cup AFC & CAF qual	WC AFC & CAF qual	WC AFC & CAF q	WC AFC/CAF q	AFC/CAF WCq
AOQ	World Cup AFC and OFC qualifying	World Cup AFC and OFC qual	World Cup AFC & OFC qual	WC AFC & OFC qual	WC AFC & OFC q	WC AFC/OFC q	AFC/OFC WCq
ACQ	World Cup AFC qualifying	World Cup AFC qual	WC AFC qual	WC AFC q
CFQ	World Cup CAF qualifying	World Cup CAF qual	WC CAF qual	WC CAF q
CNQ	World Cup CCCF and NAFC qualifying	World Cup CCCF & NAFC qual	WC CCCF/NAFC qual	WC CCCF/NAFC q	WC N Am q
NCQ	World Cup CONCACAF qualifying	World Cup CONCACAF qual	WC CONCACAF qual	WC CONCACAF q	WC N Am q
MBQ	World Cup CONMEBOL qualifying	World Cup CONMEBOL qual	WC CONMEBOL qual	WC CONMEBOL q	WC S Am q
OFQ	World Cup OFC qualifying	World Cup OFC qual	WC OFC qual	WC OFC q
UEQ	World Cup UEFA qualifying	World Cup UEFA qual	WC UEFA qual	WC UEFA q
WQP	World Cup qualifying playoffs	World Cup qual playoffs	World Cup q playoffs	WC q playoffs
OGC	Olympic Games Consolation Tournament	Olympic Games Cons Tourn	Oly G Cons
OQ	Olympic Games qualifier	Olympic Games qual	Olympic qual	Olympic q
ON	Olympic Games qualifier and Nordic Championship	Olympic Games qual & Nordic Champ	Oly qual & Nrd Ch	Oly q & Nrd Ch
ENA	European Nations League A	European League A	Euro League A
ENB	European Nations League B	European League B	Euro League B
ENC	European Nations League C	European League C	Euro League C
END	European Nations League D	European League D	Euro League D
ENL	European Nations League	European League	Euro League
LA	League A
LB	League B
LC	League C
LD	League D
AC	AFC
AF	AFC and CAF
AO	AFC and OFC
CF	CAF
CN	CCCF and NAFC
NC	CONCACAF
MB	CONMEBOL
OF	OFC
UE	UEFA
P	Playoffs
Q	Qualifying
EQ	European Championship qualifier	European Championship qual	European Champ qual	Euro Champ qual	Euro Ch q
EQB	European Championship qualifier and British International Championship	European Championship qualifier and British Championship	European Champ qual & British Champ	Euro Champ qual & British Champ	Euro Champ q & British Champ	Euro Ch q & British Ch	Euro Ch q & Br Ch
EQN	European Championship qualifier and Nordic Championship	European Champ qual & Nordic Champ	Euro Champ qual & Nordic Champ	Euro Champ q & Nordic Champ	Euro Ch q & Nordic Ch	Euro Ch q & Nrd Ch
CAQ	Copa América qualifier	Copa América qual	Copa América q
SQ	Asian Cup qualifier	Asian Cup qual
AQ	Asian Cup qualifying	Asian Cup qual
FQ	African Nations Cup qualifier	African Cup qualifier	African Cup qual	African Cup q
PAQ	Pan American Games qualifier	Pan American Games qual	Pan Am Games qual	Pan Am Games q
CCQ	CONCACAF Championship qualifier	CONCACAF Championship qual	CONCACAF Champ qual	CONCACAF Ch q	N Am Ch q
GCQ	CONCACAF Gold Cup qualifier	CONCACAF Gold Cup qual	CONCACAF Gold Cup q	Gold Cup q
OCQ	Oceania Nations Cup qualifier	Oceania Cup qualifier	Oceania Cup qual	Oce Cup qual
ASG	Asian Games
MR	Copa Centenario Revolución de Mayo	Copa Cent Rev Mayo	C Cnt Rev Mayo
UNC	Central American Cup	C American Cup
UNQ	Central American Cup qualifier	Central American Cup qual	C American Cup qual	C Am Cup qual
CIB	Coupe des Caraibes	C des Caraibes
CBC	Caribbean Cup
CBQ	Caribbean Cup qualifier	Caribbean Cup qual	Caribbean Cup q	Carib Cup q
CFU	CFU Championship	CFU Champ
CUQ	CFU Championship qualifier	CFU Championship qual	CFU Champ qual
ARC	Arab Nations Cup	Arab Cup
ARQ	Arab Nations Cup qualifier	Arab Cup qualifier	Arab Cup qual
PAR	Pan Arab Games
GLF	Gulf Cup
TGR	Tiger Cup
TGQ	Tiger Cup qualifier	Tiger Cup qual
ASE	ASEAN Championship	ASEAN Champ
AEQ	ASEAN Championship qualifier	ASEAN Championship qual	ASEAN Champ qual	ASEAN Ch q
SEQ	Southeast Asian Championship qualifier	Southeast Asian Championship qual	Southeast Asian Champ qual	SE Asian Champ qual	SE Asian Ch q
SEA	Southeast Asian Championship	Southeast Asian Champ	SE Asian Champ
ECA	CECAFA Cup
WFQ	West African Nations Cup qualifier	West African Cup qualifier	West African Cup qual	W Afr Cup q
WFU	West African Nations Cup	West African Cup	W African Cup
UEM	UEMOA Tournament	UEMOA Tourn
CMC	CEMAC Cup
ZVT	Zone V Tournament	Zone V Tourn
SAG	South Asian Games	S Asian Games
SFF	South Asian Cup	S Asian Cup
SEG	Southeast Asian Games	SE Asian Games
SEP	Southeast Asian Peninsula Games	SE Asian Peninsula Games	SE Asian Pen Games	SEAP Games
CSF	COSAFA Cup
CSQ	COSAFA Cup qualifier	COSAFA Cup qual	COSAFA Cup q
NGC	Nehru Gold Cup
ACC	Amilcar Cabral Cup	A Cabral Cup
WAF	West Asian Championship	West Asian Champ	W Asian Champ
WAG	West Asian Games	W Asian Games
EAF	East Asian Cup
EAQ	East Asian Cup qualifier	East Asian Cup qual	E Asian Cup qual	E Asian Cup q
ACH	Asian Challenge Cup	Asian Chlg Cup
CHQ	Asian Challenge Cup qualifier	Asian Challenge Cup qual	Asian Chlg Cup qual	Asian Ch Cup q
ASC	Asian Solidarity Cup	Asian Sldt Cup
INC	Independence Cup	Indep Cup
PG	Pacific Games
PMG	Pacific Mini Games	Pac Mini Games	Pac Mini G
SPG	South Pacific Games	S Pacific Games	S Pac Games
SPM	South Pacific Mini Games	S Pacific Mini Games	S Pac Mini Games	S Pac Mini G
IG	Island Games
MNG	Micronesian Games	Micron Games
MNC	Micronesian Cup	Micron Cup
MLN	Melanesian Cup
PLN	Polynesian Cup
BC	British International Championship	British International Champ	British Intl Champ	Br Intl Champ
FEG	Far Eastern Games	Far East Games	Far E Games
EAG	East Asian Games	E Asian Games
DGC	Dr Gero International Cup	Dr Gero Intl Cup	Dr Gero Cup
BLK	Balkan Cup
